boundary	1898	25328	4076
breaths	2008	51308	22644
brought_VERB	1944	184198	7985
build	1891	25437	5121
but	1991	13120805	67642
but	2005	28884922	136106
buttocks_NOUN	1993	15881	5913
by	1957	10407768	18976
by	1945	4955963	9542
by	1975	20727363	43859
by_ADP	1859	3677091	4572
by_ADP	1875	3906602	5335
by_ADP	1902	7487002	12323
by_ADP	2006	61169674	148318
gangsters_NOUN	2001	9377	3965
gave_VERB	1844	98935	2898
gentlemen	1852	35682	3027
get	1995	2976652	70011
given	1819	76276	1563
given	1832	131272	2475
go	1990	2153057	62934
goals_NOUN	1998	558542	46336
go_VERB	1932	370628	9852
ground	1923	208297	10766
group	1988	1906579	54316
grand	1923	30638	6250
growth	1973	736281	31096
grow_VERB	2007	758330	118506
facts	1985	292474	34170
failed	1971	240375	29546
failure_NOUN	1992	646199	50282
fall	1992	633369	61897
far_ADJ	1875	10229	3099
feel	1913	145238	11197
feels	1987	139071	28447
few_ADJ	1907	548450	13154
fields_NOUN	1995	484646	51096
fierce	2005	125559	46402
filtrate_NOUN	1997	5092	1077
finance_NOUN	1968	58886	10228
find_VERB	1920	432373	14090
first	1883	901073	8051
first_ADV	1893	134006	7830
flashlight	1979	6390	2377
flowers_NOUN	1923	72530	6407
fleet	1977	61511	8145
flow	1882	29117	4749
flows	1992	186650	26581
f_NOUN	1975	81973	17010
focus_VERB	2005	616489	85949
follow	1825	32254	2420
fond_ADJ	1855	14947	2907
food	1991	977881	50301
for	1901	7650032	11918
for	1925	7120774	11608
for	1941	7245835	10955
for	1956	11895350	17452
for	1976	27819833	44780
for	1983	32675073	49475
for	1979	29985864	47087
for	1992	50000376	72380
for	1995	54449333	77877
for	1996	57382017	82074
for	2000	73550291	103379
for	2001	75096827	104120
for_ADP	1908	8726807	13825
for_ADP	1921	7819331	12681
for_ADP	1930	8060685	13127
for_ADP	1934	6847617	10780
for_ADP	1959	13498544	20779
for_ADP	1976	27794932	44780
for_ADP	1984	34869280	52055
for_ADP	2004	96498205	139590
forced_VERB	2003	683648	92736
forces_NOUN	2001	1044646	67750
foreign	2005	1560247	86506
forever_ADV	1994	152517	36198
form	1967	1443317	36079
forms_NOUN	1934	130805	8367
forward_ADJ	2003	202718	43952
found	2000	4332258	99127
founded	1907	66481	8783
four	1919	334672	11969
four	2005	3301124	129353
fringe	1997	43845	16290
from	1994	26818435	76568
from	1995	27666119	77825
from	1958	7164567	19284
from	2002	41756051	117041
from_ADP	1888	3120890	7052
from_ADP	1937	4497340	12386
from_ADP	1976	14687191	44755
from_ADP	2000	37518376	103269
function_NOUN	2003	2279468	83120
fundamental_ADJ	1858	13468	1765
further	1963	649000	27566
future	2006	2450003	130885
jurisdictions	2007	85892	12977
had	1819	522190	1590
had	1950	4918751	15399
had	1956	5610965	17045
had	1984	12599061	50458
had	1985	13118690	51835
had	1998	21732871	84616
had_VERB	1792	159810	523
had_VERB	1850	1743633	3898
had_VERB	1885	3028559	7737
had_VERB	1909	4133853	12489
had_VERB	1999	23324397	89070
had_VERB	2003	34038975	123263
had_VERB	2005	37374603	133470
half	1975	791871	39920
handled	1988	97066	29336
hand_NOUN	1927	394888	12025
hardness	1956	17107	2640
harmonise_VERB	2007	5189	2773
has	2006	23876893	147071
has_VERB	1855	1069982	4398
has_VERB	1997	14614809	83356
has_VERB	2005	22331833	136842
hatred	1897	18850	4244
have	1912	4511286	14298
have	2001	31140728	103855
have_VERB	1832	1235475	2501
have_VERB	1923	3634743	11953
having_VERB	1954	385112	15165
having_VERB	2001	2176699	95428
hazards	1964	18605	6609
he	1877	3032526	5621
he	1995	20614064	72718
head	1928	305088	11048
head_NOUN	1991	1364041	55972
hear	2008	2437115	163417
heard	1990	724327	45956
heart	2001	1639667	82854
heat	1972	291284	23373
heats	1916	3660	894
height_NOUN	1814	12800	1090
held	1987	1073190	51189
help	1956	330119	15430
help_NOUN	1966	238488	27044
hemorrhage	1973	17375	1921
hepatitis	1996	55834	4139
he_PRON	1844	2182488	3078
he_PRON	1852	2678194	4441
he_PRON	1907	6060614	13307
he_PRON	1931	4909576	11995
he_PRON	1957	6868241	18162
he_PRON	1991	18308436	63249
her	1993	13721244	62155
her	2007	35727184	141957
hereditary_ADJ	1899	18376	3990
her_PRON	2008	49866839	190689
herself_PRON	1963	163609	14017
heterogeneity_NOUN	2008	66064	14402
hide_VERB	1846	4433	1610
highly_ADV	1967	316386	30962
him_PRON	1992	7034261	59119
his	1980	13119656	45087
his	1986	15685345	53670
his	2004	46169430	134416
his_PRON	1964	10389589	29421
honor_NOUN	1884	46771	2862
hoped	1928	38822	8013
hops_NOUN	2007	17719	6227
hot_ADJ	2003	817907	86814
hysteria_NOUN	2008	41394	17201
labor_NOUN	1993	680098	31196
lacking	2002	168656	55283
larger_ADJ	1884	70209	6607
labor	1994	807440	33967
larger_ADJ	1916	140224	11050
last	2001	2925909	98869
late_ADJ	1989	840923	53673
lateral	1993	180214	11089
latter_ADJ	1877	76139	4983
lawns_NOUN	2008	37508	19509
lawyer_NOUN	2006	352680	48031
la_X	2004	1003642	39862
lengthy_ADJ	2008	120134	52841
let	2008	4419269	186468
laying_VERB	1925	17647	5905
lieutenant	1959	17081	3208
life	1998	5142258	81370
light	1969	826815	35997
lights	1992	152067	29712
like	1978	2697446	43584
like	1991	4984507	66238
liked_VERB	1985	135485	21768
line	1905	379512	11947
literary_ADJ	1994	401981	25033
little	2001	3875800	98755
living	1986	749770	44845
local_ADJ	1951	270552	11706
lock_NOUN	2007	134743	39019
long	1981	2009105	44555
love	2005	3081973	102807
lower	1973	641803	36214
lower_ADJ	1855	60750	3791
lunar	1979	19613	3000
neglected_VERB	1938	23506	6886
neglected_VERB	1956	32687	9310
nature_NOUN	2001	2239410	89934
negotiation	1962	20053	4440
neural	2000	133529	8170
nineties_NOUN	1994	10590	5341
no_DET	1975	4508921	43398
no	2004	16459615	137437
no_DET	1992	7357613	71231
no_DET	2000	10641174	101660
noise	1987	221451	26022
non	1986	958285	44379
normally_ADV	2004	487474	78454
north	1890	91966	4723
northern_ADJ	1939	61249	5853
not	1874	3351946	5188
not	1915	5779362	13348
not	1918	5130141	12219
not	1926	5084405	11509
not	1932	5165329	10929
not	1949	7540934	15737
not	1953	7425513	15312
not	1969	17753805	40093
not	1973	17951742	42333
not	1988	27748726	60577
not	2004	71644897	139255
not_ADV	1874	3351542	5188
not	2001	52751609	103916
not_ADV	1893	4532549	8209
not_ADV	1967	16203569	37564
not_ADV	1970	18661718	41996
not_ADV	1971	17931454	41611
not_ADV	1984	23248361	51868
not_ADV	2008	104293105	205974
nothing_NOUN	2008	5147616	185607
notice_NOUN	1997	298129	42337
now	1991	3439086	65160
id	2004	97414	18326
if_ADP	1971	4172320	40967
ill	1917	67786	9766
image	2007	1873752	109273
important	1983	1928513	47010
